    CJ95O010  1997 03 29.2989  0.937722  0.994899  130.8584  282.9194   89.1915  20171014  -2.0  4.0  C/1995 O1 (Hale-Bopp)                                    MPC106342
    PJ96R020  2019 02 11.4764  2.590750  0.313147  333.2745   40.0520    2.6010  20171014  11.5  4.0  P/1996 R2 (Lagerkvist)                                   NK   1615
    PJ97B010  2022 03 27.7411  2.046323  0.760778  183.4038  328.9808   12.3602  20171014  15.0  2.0  P/1997 B1 (Kobayashi)                                    MPC 30063
    PJ98V24S  2018 01 19.2744  3.438661  0.241662  244.9627  159.0546    5.0225  20171014  13.0  2.0  P/1998 VS24 (LINEAR)                                     MPC 75703
    PJ99D010  2012 12 18.5243  1.649197  0.713642  174.1084  348.7606   21.3433  20171014  15.0  4.0  P/1999 D1 (Hermann)                                      NK   1780
    PJ99R010  2019 08 30.8578  0.052129  0.979272   49.5892  358.9774   12.4315  20171014  27.0  6.0  P/1999 R1 (SOHO)                                         CCO    17
    PJ99R28O  2019 06 23.9650  1.125717  0.673515  228.5940  140.2504    7.6119  20171014  20.0  2.0  P/1999 RO28 (LONEOS)                                     NK    731
    PJ99XC0N  2017 06 12.5009  3.297233  0.211481  162.0323  285.2925    5.0290  20171014  13.5  2.0  P/1999 XN120 (Catalina)                                  MPC 75704
    PK00R020  2019 06 16.6742  1.616463  0.533238  176.3951  160.5299   11.7190  20171014  18.0  4.0  P/2000 R2 (LINEAR)                                       NK    744
    PK00S040  2019 09 26.5868  2.272494  0.681519  172.6782  174.0202   28.4197  20171014  17.5  2.0  P/2000 S4 (LINEAR-Spacewatch)                            MPC 73461
    PK01B50B  2014 09  3.8508  2.366660  0.587333  193.6097  351.1882   10.3646  20171014  13.0  4.0  P/2001 BB50 (LINEAR-NEAT)                                MPC 75704
    PK01H050  2015 10 21.8116  2.437260  0.600044  224.7825  328.6965    8.3799  20171014  12.0  4.0  P/2001 H5 (NEAT)                                         MPC 43019
    PK01Q060  2024 03  2.1089  1.405512  0.822813   43.1150   21.9972   56.8514  20171014  13.5  4.0  P/2001 Q6 (NEAT)                                         MPC 75704
    PK01R060  2018 10  4.2608  2.191177  0.475671  308.4802   67.3363   17.3797  20171014  13.0  4.0  P/2001 R6 (LINEAR-Skiff)                                 MPC 82311
    PK01T030  2018 06 10.7134  2.485175  0.614405  356.7980   55.1645   19.3971  20171014  12.0  4.0  P/2001 T3 (NEAT)                                         MPC 75704
    PK02E57J  2018 06 18.4992  2.627285  0.593669  167.0023  330.4378    4.9764  20171014  12.5  4.0  P/2002 EJ57 (LINEAR)                                     MPC 47727
    PK02T050  2021 12 17.1766  3.930908  0.437297  326.9978  123.1159   30.8730  20171014   8.0  4.0  P/2002 T5 (LINEAR)                                       MPC 82311
    PK02T060  2024 07 29.9917  3.368850  0.559067  218.1906  208.2377   10.9362  20171014  10.5  4.0  P/2002 T6 (NEAT-LINEAR)                                  MPC 75704
    CK02V94Q  2006 02  4.0500  6.814034  0.964555  100.1678   34.8896   70.4331  20171014   9.5  2.0  C/2002 VQ94 (LINEAR)                                     MPC 75007
    PK03F020  2019 11 11.5291  2.971586  0.542595  191.7020  359.1164   11.6036  20171014  16.5  2.0  P/2003 F2 (NEAT)                                         MPC 50354
    PK03L010  2020 07  8.2252  5.021374  0.253103  354.6418  226.0642    9.0205  20171014   8.5  4.0  P/2003 L1 (Scotti)                                       MPC 75704
    PK03Q29X  2025 08  7.8078  4.259327  0.471065   37.1434  264.5727   11.3870  20171014   8.5  4.0  P/2003 QX29 (NEAT)                                       MPC 50139
    PK03T120  2016 03 10.4034  0.580273  0.774994  218.2089  176.1300   11.3414  20171014  17.0  4.0  P/2003 T12 (SOHO)                                        MPC 99268
    PK03U030  2014 10 14.9334  2.485106  0.508667  356.8818  348.0080    7.0053  20171014  13.5  4.0  P/2003 U3 (NEAT)                                         MPC 75705
    PK04A010  2027 01 20.0740  5.462242  0.311605   21.7278  124.9095   10.5610  20171014   6.5  4.0  P/2004 A1 (LONEOS)                                       MPC 82312
    PK04D29O  2024 06  1.3212  4.056661  0.442736   40.6731  147.4882   14.5356  20171014  13.5  2.0  P/2004 DO29 (Spacewatch-LINEAR)                          MPC 54558
    PK04FE0Y  2015 07 26.5084  4.061334  0.170164  242.2089  326.7764    2.1368  20171014  12.5  2.0  P/2004 FY140 (LINEAR)                                    MPC 54823
    PK04R030  2021 10 12.8575  3.486945  0.262357   41.1575  306.1193   12.7958  20171014  14.5  4.0  P/2004 R3 (LINEAR-NEAT)                                  MPC 53304
    PK04V030  2023 11 24.6659  3.967230  0.445054  322.2289  356.0981   50.3670  20171014  11.5  4.0  P/2004 V3 (Siding Spring)                                MPC 55521
    PK04V050  2027 08 17.0779  4.411569  0.445574   88.0881   47.7144   19.3533  20171014   8.0  4.0  P/2004 V5 (LINEAR-Hill)                                  MPC 75705
    PK04W09R  2020 04  1.6654  1.947541  0.682785   72.1072   24.8741    4.9312  20171014  14.5  4.0  P/2004 WR9 (LINEAR)                                      MPC 75705
    PK05E010  2023 09 27.9594  4.383392  0.376572  194.1683  335.6770    4.2672  20171014  10.0  4.0  P/2005 E1 (Tubbiolo)                                     MPC 54164
    PK05G08F  2019 09 30.6907  2.832544  0.516266  285.3524  314.9061    1.1919  20171014  11.5  4.0  P/2005 GF8 (LONEOS)                                      MPC 54823
    PK05J00N  2018 07 22.9945  2.277107  0.348899  153.4371   70.7698    8.8571  20171014  14.0  4.0  P/2005 JN (Spacewatch)                                   MPC 75290
    PK05J010  2018 10 12.9242  1.533619  0.570223  338.9280  268.7971   31.7670  20171014  16.5  4.0  P/2005 J1 (McNaught)                                     MPC 79019
    PK05JA8D  2022 01  5.6972  4.061397  0.374813   90.2337  223.8180    3.2812  20171014  10.0  4.0  P/2005 JD108 (Catalina-NEAT)                             MPC 75705
    PK05L010  2013 11 23.8937  3.151671  0.208245  149.4366  138.2441    7.7336  20171014   9.5  4.0  P/2005 L1 (McNaught)                                     MPC 74246
    CK05L030  2008 01 10.3462  5.602496  0.997820   47.1075  288.7937  139.4984  20171014   4.0  4.0  C/2005 L3 (McNaught)                                     MPC 87062
    PK05R010  2018 09 14.3721  2.067862  0.625527  118.8036  257.9804   15.4846  20171014  14.0  4.0  P/2005 R1 (NEAT)                                         MPC 75706
    PK05S020  2029 02 17.2059  6.447807  0.195743  230.0311  161.1930    3.1361  20171014   7.5  4.0  P/2005 S2 (Skiff)                                        MPC 75706
    PK05SL6B  2026 01 26.9268  3.820701  0.462998   83.5783    1.3638   24.0527  20171014  12.0  2.0  P/2005 SB216 (LONEOS)                                    MPC 75706
    PK05T020  2020 04  9.2415  2.237111  0.417412   59.1503  260.2106    8.2916  20171014  14.5  4.0  P/2005 T2 (Christensen)                                  MPC 55717
    PK05T030  2026 10  6.1460  6.266693  0.171063    8.5809   27.9532    6.2447  20171014   9.0  4.0  P/2005 T3 (Read)                                         MPC 73461
    PK05T040  2005 10  3.2969  0.643126  0.931256   41.2831   25.3691  160.0636  20171014  15.0  4.0  P/2005 T4 (SWAN)                                         MPC 73461
    PK05T050  2025 06 21.8944  3.280149  0.550198  304.5515   57.0263   21.3360  20171014  11.0  4.0  P/2005 T5 (Broughton)                                    MPC 75706
    PK05W030  2021 09 21.4939  2.901573  0.542425  200.2400  210.3101   16.4216  20171014  12.0  4.0  P/2005 W3 (Kowalski)                                     MPC 56954
    PK05X54A  2021 01 28.7072  1.749651  0.710753   15.1488  143.7435   17.1308  20171014  14.0  4.0  P/2005 XA54 (LONEOS-Hill)                                MPC 75706
    PK05Y020  2020 10 23.3229  3.380052  0.466401  194.3566   94.5256   19.1097  20171014   9.0  4.0  P/2005 Y2 (McNaught)                                     MPC 75706
    PK06D010  2018 12 21.6390  1.894737  0.659534  119.4289  359.9715   17.3674  20171014  16.0  4.0  P/2006 D1 (Hill)                                         MPC 75707
    PK06F010  2018 03 14.6393  4.108294  0.120131  186.1156  124.7462   21.2816  20171014   8.0  4.0  P/2006 F1 (Kowalski)                                     MPC 75707
    PK06F040  2019 08  2.5955  2.335217  0.337999   31.0738  184.0422   12.3878  20171014  15.0  4.0  P/2006 F4 (Spacewatch)                                   MPC 56954
